v,p,q
205.0,-2236.0679775919675,-4472.135954953491
206.0,-2236.067982532515,-4472.135952483217
207.0,-2236.068252276505,-4472.135817611212
208.0,-2236.082977416831,-4472.128455009614
209.0,-2236.879924830704,-4471.729889191584
210.0,-2267.4462214926693,-4456.308745210392
211.0,-2429.150449642832,-4370.266364078971
212.0,-2500.0,-3999.9580742033895
213.0,-2500.0,-3499.999231975902
214.0,-2500.0,-2999.999985937823
215.0,-2500.0,-2500.0
216.0,-2500.0,-2000.0000140621771
217.0,-2500.0,-1500.0007680240985
218.0,-2500.0,-1000.0419257966104
219.0,-2500.0,-502.26874098972695
220.0,-2500.0,-86.64339756999372
221.0,-2500.0,-2.268740989725404
222.0,-2500.0,-0.041925796612218846
223.0,-2500.0,-0.0007680241859153725
224.0,-2500.0,-1.4066895981379446e-05
225.0,-2500.0,-2.5764390620963695e-07
226.0,-2500.0,-4.719002966169228e-09
227.0,-2500.0,-8.715250743307479e-11
228.0,-2500.0,-2.7755575615628914e-12
229.0,-2500.0,1.1102230246251565e-12
230.0,-2500.0,0.0
231.0,-2500.0,-1.0824674490095276e-12
232.0,-2500.0,2.692290834715993e-12
233.0,-2500.0,8.754108549166365e-11
234.0,-2500.0,4.7189196993533036e-09
235.0,-2500.0,2.576431010324217e-07
236.0,-2500.0,1.4066897160515013e-05
237.0,-2500.0,0.0007680241858286514
238.0,-2500.0,0.041925796610847534
239.0,-2500.0,2.26874098972511
240.0,-2500.0,86.64339756999419
241.0,-2500.0,502.26874098972735
242.0,-2500.0,1000.0419257966093
243.0,-2500.0,1500.000768024097
244.0,-2500.0,2000.000014062176
245.0,-2500.0,2499.999999999999
246.0,-2500.0,2999.999985937824
247.0,-2500.0,3499.9992319759026
248.0,-2500.0,3999.9580742033904
249.0,-2429.150449642832,4370.266364078971
250.0,-2267.44622149267,4456.308745210391
251.0,-2236.879924830704,4471.729889191584
252.0,-2236.0829774168315,4472.128455009614
253.0,-2236.0682522765055,4472.135817611211
254.0,-2236.067982532515,4472.135952483217
255.0,-2236.0679775919666,4472.135954953491
