v,p,q
205.0,-2500.0,-4330.127018922193
206.0,-2500.0,-4330.127018922193
207.0,-2500.0,-4330.127018922193
208.0,-2500.0,-4330.127018922193
209.0,-2500.0,-4330.127018922193
210.0,-2500.0,-4330.127018922199
211.0,-2500.0,-4330.150847081422
212.0,-2500.0,-3999.958097622331
213.0,-2500.0,-3499.999231975902
214.0,-2500.0,-2999.999985937823
215.0,-2500.0,-2500.0
216.0,-2500.0,-2000.0000140621771
217.0,-2500.0,-1500.0007680240985
218.0,-2500.0,-1000.0419257966104
219.0,-2500.0,-502.26874098972695
220.0,-2500.0,-86.64339756999357
221.0,-2500.0,-0.9641585416943067
222.0,-2500.0,-0.004192533096206056
223.0,-2500.0,-7.680241798760731e-05
224.0,-2500.0,-1.4066895981342335e-06
225.0,-2500.0,-2.5764390620963675e-08
226.0,-2500.0,-4.719002966169228e-10
227.0,-2500.0,-8.715250743307479e-12
228.0,-2500.0,-2.7755575615628914e-13
229.0,-2500.0,1.1102230246251565e-13
230.0,-2500.0,0.0
231.0,-2500.0,-1.0824674490095276e-13
232.0,-2500.0,2.692290834715993e-13
233.0,-2500.0,8.754108549166364e-12
234.0,-2500.0,4.718919699353304e-10
235.0,-2500.0,2.5764310103242154e-08
236.0,-2500.0,1.4066897160477902e-06
237.0,-2500.0,7.680241797893518e-05
238.0,-2500.0,0.004192533096068925
239.0,-2500.0,0.9641585416940721
240.0,-2500.0,86.64339756999404
241.0,-2500.0,502.26874098972735
242.0,-2500.0,1000.0419257966093
243.0,-2500.0,1500.000768024097
244.0,-2500.0,2000.000014062176
245.0,-2500.0,2499.999999999999
246.0,-2500.0,2999.999985937824
247.0,-2500.0,3499.9992319759026
248.0,-2500.0,3999.9580976223315
249.0,-2500.0,4330.150847081422
250.0,-2500.0,4330.127018922199
251.0,-2500.0,4330.127018922193
252.0,-2500.0,4330.127018922193
253.0,-2500.0,4330.127018922193
254.0,-2500.0,4330.127018922193
255.0,-2500.0,4330.127018922193
