v,p,q
205.0,-0.5000132304722589,-4999.999999742356
206.0,-0.532061670101206,-4999.999985933104
207.0,-2.771324820863182,-4999.999231975815
208.0,-20.475746832553064,-4999.958074203388
209.0,-150.60631697104301,-4997.731259010274
210.0,-926.7830907809562,-4913.356602430007
211.0,-2184.1748739974582,-4497.731259010274
212.0,-2500.0000374699125,-3999.9580742033895
213.0,-2500.0,-3499.999231975902
214.0,-2500.0,-2999.999985937823
215.0,-2500.0,-2500.0
216.0,-2500.0,-2000.0000140621771
217.0,-2500.0,-1500.0007680240985
218.0,-2500.0,-1000.0419257966104
219.0,-2500.0,-502.26874098972695
220.0,-2500.0,-86.64339756999372
221.0,-2500.0,-2.268740989725404
222.0,-2500.0,-0.041925796612218846
223.0,-2500.0,-0.0007680241859153725
224.0,-2500.0,-1.4066895981379446e-05
225.0,-2500.0,-2.5764390620963695e-07
226.0,-2500.0,-4.719002966169228e-09
227.0,-2500.0,-8.715250743307479e-11
228.0,-2500.0,-2.7755575615628914e-12
229.0,-2500.0,1.1102230246251565e-12
230.0,-2500.0,0.0
231.0,-2500.0,-1.0824674490095276e-12
232.0,-2500.0,2.692290834715993e-12
233.0,-2500.0,8.754108549166365e-11
234.0,-2500.0,4.7189196993533036e-09
235.0,-2500.0,2.576431010324217e-07
236.0,-2500.0,1.4066897160515013e-05
237.0,-2500.0,0.0007680241858286514
238.0,-2500.0,0.041925796610847534
239.0,-2500.0,2.26874098972511
240.0,-2500.0,86.64339756999419
241.0,-2500.0,502.26874098972735
242.0,-2500.0,1000.0419257966093
243.0,-2500.0,1500.000768024097
244.0,-2500.0,2000.000014062176
245.0,-2500.0,2499.999999999999
246.0,-2500.0,2999.999985937824
247.0,-2500.0,3499.9992319759026
248.0,-2500.0000374699125,3999.9580742033904
249.0,-2184.1748739974582,4497.731259010274
250.0,-926.7830907809681,4913.356602430005
251.0,-150.60631697104301,4997.731259010274
252.0,-20.475746832824168,4999.958074203387
253.0,-2.7713248238677637,4999.999231975813
254.0,-0.5320616633668144,4999.999985933106
255.0,-0.500013230187694,4999.999999742358
