v,p,q
205.0,-2500.0,-2999.999999845413
206.0,-2500.0,-2999.9999915598623
207.0,-2500.0,-2999.999539185489
208.0,-2500.0,-2999.9748445220325
209.0,-2500.0,-2998.6387554061644
210.0,-2500.0,-2948.0139614580035
211.0,-2500.0,-2698.6387554061644
212.0,-2500.0,-2399.974844522034
213.0,-2500.0,-2099.9995391855414
214.0,-2500.0,-1799.9999915626938
215.0,-2500.0,-1500.0
216.0,-2500.0,-1200.0000084373062
217.0,-2500.0,-900.0004608144591
218.0,-2500.0,-600.0251554779662
219.0,-2500.0,-301.36124459383615
220.0,-2500.0,-51.98603854199624
221.0,-2500.0,-1.3612445938352424
222.0,-2500.0,-0.025155477967331308
223.0,-2500.0,-0.0004608145115492235
224.0,-2500.0,-8.440137588827668e-06
225.0,-2500.0,-1.5458634372578217e-07
226.0,-2500.0,-2.8314017797015367e-09
227.0,-2500.0,-5.229150445984487e-11
228.0,-2500.0,-1.6653345369377348e-12
229.0,-2500.0,6.661338147750939e-13
230.0,-2500.0,0.0
231.0,-2500.0,-6.439293542825908e-13
232.0,-2500.0,1.931788062847763e-12
233.0,-2500.0,6.981082378840588e-11
234.0,-2500.0,3.775135759482643e-09
235.0,-2500.0,2.0611470287054231e-07
236.0,-2500.0,1.1253517506367405e-05
237.0,-2500.0,0.0006144193484408765
238.0,-2500.0,0.03354063728890007
239.0,-2500.0,1.8149927917803101
240.0,-2500.0,69.31471805599514
241.0,-2500.0,401.8149927917817
242.0,-2500.0,800.0335406372877
243.0,-2500.0,1200.0006144192778
244.0,-2500.0,1600.000011249741
245.0,-2500.0,1999.9999999999993
246.0,-2500.0,2399.9999887502586
247.0,-2500.0,2799.9993855807215
248.0,-2500.0,3199.966459362712
249.0,-2500.0,3598.185007208219
250.0,-2500.0,3930.6852819440046
251.0,-2500.0,3998.1850072082193
252.0,-2500.0,3999.96645936271
253.0,-2500.0,3999.9993855806506
254.0,-2500.0,3999.999988746485
255.0,-2500.0,3999.999999793886
