v,p,q
205.0,-2236.0679775919675,-4472.135954953491
206.0,-2236.067982532515,-4472.135952483217
207.0,-2236.068252276505,-4472.135817611212
208.0,-2236.082977416831,-4472.128455009614
209.0,-2236.879924830704,-4471.729889191584
210.0,-2267.4462214926693,-4456.308745210392
211.0,-2429.150449642832,-4370.266364078971
212.0,-2500.0,-3999.9580742033895
213.0,-2500.0,-3499.999231975902
214.0,-2500.0,-2999.999985937823
215.0,-2500.0,-2500.0
216.0,-2500.0,-2000.0000140621771
217.0,-2500.0,-1500.0007680240985
218.0,-2500.0,-1000.0419257966104
219.0,-2500.0,-502.26874098972695
220.0,-2500.0,-86.64339756999372
221.0,-2500.0,-2.268740989725404
222.0,-2500.0,-0.041925796612218846
223.0,-2500.0,-0.0007680241859153725
224.0,-2500.0,-1.4066895981379446e-05
225.0,-2500.0,-2.5764390620963695e-07
226.0,-2500.0,-4.719002966169228e-09
227.0,-2499.9999999999995,-8.715250743307479e-11
228.0,-2499.999999999974,-2.7755575615628914e-12
229.0,-2499.9999999983334,1.1102230246251565e-12
230.0,-2499.9999998925073,0.0
231.0,-2499.999993066702,-1.1102230246251565e-12
232.0,-2499.999552802453,1.1102230246251565e-12
233.0,-2499.9711591289492,1.1102230246251565e-12
234.0,-2498.153812384344,0.0
235.0,-2416.8223384402995,-1.1102230246251565e-12
236.0,-1998.1538193159781,1.1657341758564144e-12
237.0,-1499.971606326463,4.27435864480683e-12
238.0,-1000.0283936735241,1.7175150190945182e-10
239.0,-501.84618068402244,9.436729175681982e-09
240.0,-83.17766155970074,5.152895327339173e-07
241.0,-1.8461876156564139,2.813379315529586e-05
242.0,-0.028840871050817007,0.0015360483651625176
243.0,-0.00044719754704880543,0.08385159304994605
244.0,-6.9332981023073614e-06,4.53748197001349
245.0,-1.0749290346723228e-07,173.28679462469663
246.0,-1.6669998714746725e-09,1004.5374538456617
247.0,-2.609024107869118e-11,2000.0823155448559
248.0,-5.551115123125783e-13,2999.917684455146
249.0,-0.0,3995.46254615434
250.0,-0.0,4826.713205375302
251.0,-8.323850959092303e-13,4993.769666036564
252.0,-0.0,4996.494563038826
253.0,-0.0,4996.535896615463
254.0,-8.320905096191371e-13,4996.536650631391
255.0,-0.0,4996.536664440657
