v,p,q
205.0,-3123.4752378702615,-3904.34404713664
206.0,-3123.4752431303655,-3904.344042928556
207.0,-3123.4755303214724,-3904.3438131756525
208.0,-3123.4912078505167,-3904.3312710988703
209.0,-3124.3395901559534,-3903.6524083714385
210.0,-3156.7159632002063,-3877.517804946483
211.0,-3322.7549000972035,-3736.2146450491878
212.0,-3535.552434740721,-3535.5153770276493
213.0,-3762.883831585663,-3292.52263014109
214.0,-3997.2293351288868,-2997.921987294228
215.0,-4000.0,-2500.0
216.0,-4000.0,-2000.0000140621771
217.0,-4000.0,-1500.0007680240985
218.0,-4000.0,-1000.0419257966104
219.0,-4000.0,-502.26874098972695
220.0,-4000.0,-86.64339756999372
221.0,-4000.0,-2.268740989725404
222.0,-4000.0,-0.041925796612218846
223.0,-4000.0,-0.0007680241859153725
224.0,-4000.0,-1.4066895981379446e-05
225.0,-4000.0,-2.5764390620963695e-07
226.0,-4000.0,-4.719002966169228e-09
227.0,-4000.0,-8.715250743307479e-11
228.0,-4000.0,-2.7755575615628914e-12
229.0,-4000.0,1.1102230246251565e-12
230.0,-4000.0,0.0
231.0,-4000.0,-1.0824674490095276e-12
232.0,-4000.0,2.692290834715993e-12
233.0,-4000.0,8.754108549166365e-11
234.0,-3999.999999999998,4.7189196993533036e-09
235.0,-3999.9999999999136,2.576431010324217e-07
236.0,-3999.999999995281,1.4066897160515013e-05
237.0,-3999.9999997423565,0.0007680241858286514
238.0,-3999.9999859331037,0.041925796610847534
239.0,-3999.9992319758153,2.26874098972511
240.0,-3999.958074203388,86.64339756999419
241.0,-3997.731259010274,502.26874098972735
242.0,-3913.356602430009,1000.0419257966093
243.0,-3497.73125901036,1500.000768024097
244.0,-2999.9580742081066,2000.000014062176
245.0,-2499.999232233459,2499.999999999999
246.0,-2000.0,2999.999985937824
247.0,-1500.0007677665405,3499.9992319759026
248.0,-1000.041925791893,3999.9580742033904
249.0,-502.2687409896398,4497.731259010274
250.0,-86.64339756698323,4913.356602259406
251.0,-2.2676257006015934,4995.274427072589
252.0,-0.04189693115933036,4996.515657751498
253.0,-0.0007674922580982291,4996.536280671605
254.0,-1.4057152436597654e-05,4996.536657664851
255.0,-2.5746611044154283e-07,4996.536664569479
