v,p,q
205.0,-2500.0,1000.0
206.0,-2500.0,1000.0
207.0,-2500.0,1000.0
208.0,-2500.0,1000.0
209.0,-2500.0,1000.0
210.0,-2500.0,1000.0
211.0,-2500.0,1000.0
212.0,-2500.0,1000.0
213.0,-2500.0,1000.0
214.0,-2500.0,1000.0
215.0,-2500.0,1000.0
216.0,-2500.0,1000.0
217.0,-2500.0,1000.0
218.0,-2500.0,1000.0
219.0,-2500.0,1000.0
220.0,-2500.0,1000.0
221.0,-2500.0,1000.0
222.0,-2500.0,1000.0
223.0,-2500.0,1000.0
224.0,-2500.0,1000.0
225.0,-2500.0,1000.0
226.0,-2500.0,1000.0
227.0,-2500.0,1000.0
228.0,-2500.0,1000.0
229.0,-2500.0,1000.0
230.0,-2500.0,1000.0
231.0,-2500.0,1000.0
232.0,-2500.0,1000.0
233.0,-2500.0,1000.0
234.0,-2500.0,1000.0
235.0,-2500.0,1000.0
236.0,-2500.0,1000.0
237.0,-2499.999999999998,1000.0
238.0,-2499.9999999999136,1000.0
239.0,-2499.999999995281,1000.0
240.0,-2499.9999997423556,1000.0
241.0,-2499.999985933104,1000.0
242.0,-2499.9992319758167,1000.0
243.0,-2499.9580742034746,1000.0
244.0,-2497.7312590149927,1000.0
245.0,-2413.356602687651,1000.0
246.0,-1997.7312730771698,1000.0
247.0,-1499.9588422275729,1000.0
248.0,-1000.0411577724275,1000.0
249.0,-502.2687269228301,1000.0
250.0,-86.64339731234871,1000.0
251.0,-2.2687409850075113,1000.0
252.0,-0.04192579652562145,1000.0
253.0,-0.0007680241834173707,1000.0
254.0,-1.4066896536490958e-05,1000.0
255.0,-2.576441837653931e-07,1000.0
