name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
O_AL_12,overhead,al,al,,,12,12,2.69,2.69,0.4076321335,0.4076321335,0.000002798,0.000002798,70,70
O_AL_13,overhead,al,al,,,13,13,2.495,2.495,0.4051175176,0.4051175176,0.0000028161,0.0000028161,76,76
O_AL_14,overhead,al,al,,,14,14,2.3,2.3,0.402789347,0.402789347,0.0000028331,0.0000028331,82,82
O_AL_19,overhead,al,al,,,19,19,1.6733333333,1.6733333333,0.3931954996,0.3931954996,0.0000029051,0.0000029051,103,103
O_AL_20,overhead,al,al,,,20,20,1.5944444444,1.5944444444,0.3915840732,0.3915840732,0.0000029175,0.0000029175,106,106
O_AL_22,overhead,al,al,,,22,22,1.4366666667,1.4366666667,0.3885898156,0.3885898156,0.0000029409,0.0000029409,113,113
O_AL_25,overhead,al,al,,,25,25,1.2,1.2,0.3845738118,0.3845738118,0.000002973,0.000002973,122,122
O_AL_28,overhead,al,al,,,28,28,1.1004,1.1004,0.3810134861,0.3810134861,0.0000030019,0.0000030019,130,130
O_AL_29,overhead,al,al,,,29,29,1.0672,1.0672,0.3799110598,0.3799110598,0.000003011,0.000003011,132,132
O_AL_33,overhead,al,al,,,33,33,0.9344,0.9344,0.3758517535,0.3758517535,0.000003045,0.000003045,142,142
O_AL_34,overhead,al,al,,,34,34,0.9012,0.9012,0.374913895,0.374913895,0.0000030529,0.0000030529,144,144
O_AL_37,overhead,al,al,,,37,37,0.8377333333,0.8377333333,0.3722574463,0.3722574463,0.0000030757,0.0000030757,152,152
O_AL_38,overhead,al,al,,,38,38,0.8226,0.8226,0.3714196387,0.3714196387,0.0000030829,0.0000030829,155,155
O_AL_40,overhead,al,al,,,40,40,0.7923333333,0.7923333333,0.3698082123,0.3698082123,0.0000030969,0.0000030969,160,160
O_AL_43,overhead,al,al,,,43,43,0.7469333333,0.7469333333,0.3675361917,0.3675361917,0.0000031169,0.0000031169,167,167
O_AL_48,overhead,al,al,,,48,48,0.6712666667,0.6712666667,0.3640804116,0.3640804116,0.0000031478,0.0000031478,180,180
O_AL_50,overhead,al,al,,,50,50,0.641,0.641,0.3627979509,0.3627979509,0.0000031595,0.0000031595,185,185
O_AL_54,overhead,al,al,,,54,54,0.6014,0.6014,0.3603801484,0.3603801484,0.0000031816,0.0000031816,193,193
O_AL_55,overhead,al,al,,,55,55,0.5915,0.5915,0.3598036933,0.3598036933,0.000003187,0.000003187,195,195
