name,sn,uhv,ulv,fn,vg,vsc,psc,i0,p0,manufacturer,range,efficiency,cooling,insulation,material,oil,phases,du1,du0.8,eff1 100%,eff0.8 100%,eff1 75%,eff0.8 75%,notes
FT 100kVA 15/20kV(20) 400V Dyn11,100000,20000,400,50,Dyn11,0.04,2150,0.025,210,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,2.21,3.75,97.69,97.13,98.14,97.69,"±2,5% ±5%"
FT 160kVA 15/20kV(20) 400V Dyn11,160000,20000,400,50,Dyn11,0.04,2350,0.023,460,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.54,3.43,98.27,97.85,98.54,98.18,"±2,5% ±5%"
FT 250kVA 15/20kV(20) 400V Dyn11,250000,20000,400,50,Dyn11,0.04,3250,0.021,650,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.37,3.33,98.46,98.09,98.7,98.37,"±2,5% ±5%"
FT 315kVA 15/20kV(20) 400V Dyn11,315000,20000,400,50,Dyn11,0.04,3900,0.02,800,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.31,3.3,98.53,98.17,98.75,98.44,"±2,5% ±5%"
FT 400kVA 15/20kV(20) 400V Dyn11,400000,20000,400,50,Dyn11,0.04,4600,0.019,930,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.22,3.25,98.64,98.3,98.84,98.56,"±2,5% ±5%"
FT 500kVA 15/20kV(20) 400V Dyn11,500000,20000,400,50,Dyn11,0.04,5500,0.019,1100,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.17,3.22,98.7,98.387,98.89,98.62,"±2,5% ±5%"
FT 630kVA 15/20kV(20) 400V Dyn11,630000,20000,400,50,Dyn11,0.04,6500,0.018,1300,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.11,3.17,98.78,98.48,98.96,98.71,"±2,5% ±5%"
FT 800kVA 15/20kV(20) 400V Dyn11,800000,20000,400,50,Dyn11,0.06,10700,0.025,1220,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.51,4.65,98.53,98.17,98.81,98.51,"±2,5% ±5%"
FT 1000kVA 15/20kV(20) 400V Dyn11,1000000,20000,400,50,Dyn11,0.06,13000,0.024,1470,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.57,98.22,98.84,98.56,"±2,5% ±5%"
FT 1250kVA 15/20kV(20) 400V Dyn11,1250000,20000,400,50,Dyn11,0.06,16000,0.022,1800,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.6,98.25,98.86,98.58,"±2,5% ±5%"
FT 1600kVA 15/20kV(20) 400V Dyn11,1600000,20000,400,50,Dyn11,0.06,20000,0.02,2300,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.42,4.6,98.63,98.29,98.88,98.61,"±2,5% ±5%"
FT 2000kVA 15/20kV(20) 400V Dyn11,2000000,20000,400,50,Dyn11,0.06,25500,0.019,2750,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.61,98.61,98.27,98.87,98.6,"±2,5% ±5%"
FT 2500kVA 15/20kV(20) 400V Dyn11,2500000,20000,400,50,Dyn11,0.06,32000,0.018,3350,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.61,98.26,98.87,98.6,"±2,5% ±5%"
FT 3150kVA 15/20kV(20) 400V Dyn11,3150000,20000,400,50,Dyn11,0.07,33000,0.017,4380,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.29,5.11,98.83,98.54,99.04,98.8,"±2,5% ±5%"
FT 100kVA 15/20kV(15) 400V Dyn11,100000,15000,400,50,Dyn11,0.04,2150,0.025,210,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,2.21,3.75,97.69,97.13,98.14,97.69,"±2,5% ±5%"
FT 160kVA 15/20kV(15) 400V Dyn11,160000,15000,400,50,Dyn11,0.04,2350,0.023,460,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.54,3.43,98.27,97.85,98.54,98.18,"±2,5% ±5%"
FT 250kVA 15/20kV(15) 400V Dyn11,250000,15000,400,50,Dyn11,0.04,3250,0.021,650,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.37,3.33,98.46,98.09,98.7,98.37,"±2,5% ±5%"
FT 315kVA 15/20kV(15) 400V Dyn11,315000,15000,400,50,Dyn11,0.04,3900,0.02,800,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.31,3.3,98.53,98.17,98.75,98.44,"±2,5% ±5%"
FT 400kVA 15/20kV(15) 400V Dyn11,400000,15000,400,50,Dyn11,0.04,4600,0.019,930,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.22,3.25,98.64,98.3,98.84,98.56,"±2,5% ±5%"
FT 500kVA 15/20kV(15) 400V Dyn11,500000,15000,400,50,Dyn11,0.04,5500,0.019,1100,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.17,3.22,98.7,98.387,98.89,98.62,"±2,5% ±5%"
FT 630kVA 15/20kV(15) 400V Dyn11,630000,15000,400,50,Dyn11,0.04,6500,0.018,1300,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.11,3.17,98.78,98.48,98.96,98.71,"±2,5% ±5%"
FT 800kVA 15/20kV(15) 400V Dyn11,800000,15000,400,50,Dyn11,0.06,10700,0.025,1220,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.51,4.65,98.53,98.17,98.81,98.51,"±2,5% ±5%"
FT 1000kVA 15/20kV(15) 400V Dyn11,1000000,15000,400,50,Dyn11,0.06,13000,0.024,1470,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.57,98.22,98.84,98.56,"±2,5% ±5%"
FT 1250kVA 15/20kV(15) 400V Dyn11,1250000,15000,400,50,Dyn11,0.06,16000,0.022,1800,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.6,98.25,98.86,98.58,"±2,5% ±5%"
FT 1600kVA 15/20kV(15) 400V Dyn11,1600000,15000,400,50,Dyn11,0.06,20000,0.02,2300,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.42,4.6,98.63,98.29,98.88,98.61,"±2,5% ±5%"
FT 2000kVA 15/20kV(15) 400V Dyn11,2000000,15000,400,50,Dyn11,0.06,25500,0.019,2750,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.61,98.61,98.27,98.87,98.6,"±2,5% ±5%"
FT 2500kVA 15/20kV(15) 400V Dyn11,2500000,15000,400,50,Dyn11,0.06,32000,0.018,3350,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.61,98.26,98.87,98.6,"±2,5% ±5%"
FT 3150kVA 15/20kV(15) 400V Dyn11,3150000,15000,400,50,Dyn11,0.07,33000,0.017,4380,France Transfo,,,ONAN,liquid-immersed,,mineral,three-phase,1.29,5.11,98.83,98.54,99.04,98.8,"±2,5% ±5%"
SE Minera AA0Ak 160kVA 20kV 410V Dyn11,160000,20000,410,50,Dyn11,0.04,1750,0.15,189,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,98.803,98.508,99.032,98.792,"±2,5% ±5%"
SE Minera AA0Ak 250kVA 20kV 410V Dyn11,250000,20000,410,50,Dyn11,0.04,2350,0.14,270,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,98.963,98.707,99.158,98.95,"±2,5% ±5%"
SE Minera AA0Ak 400kVA 20kV 410V Dyn11,400000,20000,410,50,Dyn11,0.04,3250,0.16,387,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.099,98.876,99.267,99.085,"±2,5% ±5%"
SE Minera AA0Ak 630kVA 20kV 410V Dyn11,630000,20000,410,50,Dyn11,0.04,4600,0.15,540,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.191,98.99,99.342,99.179,"±2,5% ±5%"
SE Minera AA0Ak 800kVA 20kV 410V Dyn11,800000,20000,410,50,Dyn11,0.04,6000,0.12,585,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.184,98.982,99.344,99.192,"±2,5% ±5%"
SE Minera AA0Ak 1000kVA 20kV 410V Dyn11,1000000,20000,410,50,Dyn11,0.04,7600,0.12,693,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.178,98.974,99.342,99.179,"±2,5% ±5%"
SE Minera AA0Ak 1250kVA 20kV 410V Dyn11,1250000,20000,410,50,Dyn11,0.04,9500,0.12,855,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.178,98.975,99.343,99.18,"±2,5% ±5%"
SE Minera AA0Ak 1600kVA 20kV 410V Dyn11,1600000,20000,410,50,Dyn11,0.04,12000,0.28,1080,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.189,99.988,99.352,99.191,"±2,5% ±5%"
SE Minera AA0Ak 2000kVA 20kV 410V Dyn11,2000000,20000,410,50,Dyn11,0.04,15000,0.28,1305,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.191,98.991,99.355,99.195,"±2,5% ±5%"
SE Minera AA0Ak 2500kVA 20kV 410V Dyn11,2500000,20000,410,50,Dyn11,0.04,18500,0.28,1575,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.203,99.006,99.365,99.208,"±2,5% ±5%"
SE Minera AA0Ak 3150kVA 20kV 410V Dyn11,3150000,20000,410,50,Dyn11,0.04,23000,0.28,1980,Schneider Electric,Minera,AA0Ak,ONAN,liquid-immersed,,mineral,three-phase,,,99.213,99.018,99.373,99.217,"±2,5% ±5%"
SE Minera A0Ak 50kVA 15/20kV(20) 410V Yzn11,50000,20000,410,50,Yzn11,0.04,750,0.005,90,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,1.57,3.45,98.35,97.94,98.65,98.32,"±2,5% ±5%"
SE Minera A0Ak 100kVA 15/20kV(20) 410V Dyn11,100000,20000,410,50,Dyn11,0.04,1250,0.005,145,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,1.32,3.31,98.62,98.29,98.88,98.61,"±2,5% ±5%"
SE Minera A0Ak 160kVA 15/20kV(20) 410V Dyn11,160000,20000,410,50,Dyn11,0.04,1700,0.005,210,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,1.14,3.19,98.82,98.53,99.04,98.8,"±2,5% ±5%"
SE Minera A0Ak 250kVA 15/20kV(20) 410V Dyn11,250000,20000,410,50,Dyn11,0.04,2350,0.005,300,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,1.02,3.12,98.95,98.69,99.14,98.93,"±2,5% ±5%"
SE Minera A0Ak 315kVA 15/20kV(20) 410V Dyn11,315000,20000,410,50,Dyn11,0.04,2800,0.005,360,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.96,3.08,99.01,98.76,99.19,98.99,"±2,5% ±5%"
SE Minera A0Ak 400kVA 15/20kV(20) 410V Dyn11,400000,20000,410,50,Dyn11,0.04,3250,0.005,430,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.89,3.03,99.09,98.86,99.25,99.07,"±2,5% ±5%"
SE Minera A0Ak 500kVA 15/20kV(20) 410V Dyn11,500000,20000,410,50,Dyn11,0.04,3900,0.005,510,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.86,3.01,99.13,98.91,99.28,99.11,"±2,5% ±5%"
SE Minera A0Ak 630kVA 15/20kV(20) 410V Dyn11,630000,20000,410,50,Dyn11,0.04,4600,0.005,600,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.81,2.98,99.18,98.98,99.33,99.16,"±2,5% ±5%"
SE Minera A0Ak 800kVA 15/20kV(20) 410V Dyn11,800000,20000,410,50,Dyn11,0.06,6000,0.005,650,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.93,4.26,99.18,98.97,99.33,99.17,"±2,5% ±5%"
SE Minera A0Ak 1000kVA 15/20kV(20) 410V Dyn11,1000000,20000,410,50,Dyn11,0.06,7600,0.005,770,Schneider Electric,Minera,A0Ak,ONAN,liquid-immersed,,mineral,three-phase,0.94,4.27,99.17,98.96,99.33,99.17,"±2,5% ±5%"
